"";"ID";"Commune";"Langue";"Canton";"Poids";"An_Debut";"An_Fin";"F_1";"F_2"
"Dizy";5481;"Dizy";"Français";"Vaud";2,67460659964103e-05;1982;1987;-0,0968242854992189;-0,168444544891087
"Dompierre (VD)";5671;"Dompierre (VD)";"Français";"Vaud";3,65729913681251e-05;1982;1987;-0,768258955649878;1,33329779699586
"Donneloye";5913;"Donneloye";"Français";"Vaud";0,000100693786746277;1982;1987;-0,420730489007885;0,573117228062519
"Dorénaz";6212;"Dorénaz";"Français";"Valais";9,96140699568552e-05;1982;1987;-1,08617374005711;-2,11612447826142
"Duillier";5715;"Duillier";"Français";"Vaud";0,000101068360463482;1982;1987;-0,0417636864320438;0,65868744607228
"Dully";5855;"Dully";"Français";"Vaud";4,91249673644341e-05;1982;1987;-0,311798736407825;1,5882303626164
"Echallens";5518;"Echallens";"Français";"Vaud";0,000471884534447983;1982;1987;0,303284586810786;0,624462579201401
"Echandens";5633;"Echandens";"Français";"Vaud";0,000279614450146421;1982;1987;-0,193660174361462;1,03613267093094
"Echarlens";2131;"Echarlens";"Français";"Fribourg";8,37223881071184e-05;1982;1987;0,0908629646130204;-0,225655822058937
"Echichens";5634;"Echichens";"Français";"Vaud";0,000275566048824653;1982;1987;-0,0824210841580652;0,82564164902966
"Eclépens";5482;"Eclépens";"Français";"Vaud";0,000115055307978137;1982;1987;-0,455875477682198;0,249167526979207
"Ecublens (FR)";2072;"Ecublens (FR)";"Français";"Fribourg";4,05982945568011e-05;1982;1987;-1,13742060747839;-1,36112598259557
"Ecublens (VD)";5635;"Ecublens (VD)";"Français";"Vaud";0,000789687258038154;1982;1987;1,36006189553836;0,613945766260979
"Enges";6453;"Enges";"Français";"Neuchâtel";4,27711667745966e-05;1982;1987;-0,403707772418661;0,698962884976902
"Epalinges";5584;"Epalinges";"Français";"Vaud";0,000918396797621683;1982;1987;0,852496176481942;1,15185946439551
"Ependes (VD)";5914;"Ependes (VD)";"Français";"Vaud";3,74122940811746e-05;1982;1987;-1,36860621160327;-0,176274506977888
"Eschert";692;"Eschert";"Français";"Berne";4,69630704892554e-05;1982;1987;0,865079300355831;-0,787340691821179
"Essertes";5788;"Essertes";"Français";"Vaud";3,96640294929109e-05;1982;1987;-1,59950105568253;-0,829845377960671
"Essertines-sur-Rolle";5856;"Essertines-sur-Rolle";"Français";"Vaud";6,32471477970491e-05;1982;1987;-0,615297573164871;1,27568204264756
"Essertines-sur-Yverdon";5520;"Essertines-sur-Yverdon";"Français";"Vaud";9,76338736581643e-05;1982;1987;-0,902263616504917;0,17606101443167
"Estavayer";2054;"Estavayer";"Français";"Fribourg";0,00100440038033018;1982;1987;0,177336702264869;-0,242249920001578
"Etagnières";5521;"Etagnières";"Français";"Vaud";9,53177416188283e-05;1982;1987;-0,143655153625502;0,173990740406094
"Etoy";5636;"Etoy";"Français";"Vaud";0,000204510809931139;1982;1987;0,614246819388331;0,49282576056333
"Evionnaz";6213;"Evionnaz";"Français";"Valais";0,000155936433732683;1982;1987;-0,211638557359204;-1,32503633774102
"Evolène";6083;"Evolène";"Français";"Valais";0,000270891926938041;1982;1987;-1,8212676862241;-1,97943674391258
"Eysins";5716;"Eysins";"Français";"Vaud";0,000103214914716805;1982;1987;-0,263888273317099;0,847429779992228
"Fahy";6789;"Fahy";"Français";"Jura";5,12150599022481e-05;1982;1987;0,112686998135383;-1,62303445312311
"Faoug";5458;"Faoug";"Français";"Vaud";7,24580120980601e-05;1982;1987;-0,271278818064754;0,43608108161881
